umap1,umap2,cell_type,sample,annotation_source
0.41256398,-6.663604,Neutrophil,E14S,transferred
-5.29945,3.429801,Resident Macrophage,E14S,transferred
2.7712562,11.1744795,Resident Macrophage,E14S,transferred
-3.9287055,5.165495,C1qc+ TAM,E14S,transferred
1.2459148,-8.112769,Neutrophil,E14S,transferred
1.2975465,-8.797529,Neutrophil,E14S,transferred
-2.4266238,1.1523625,Il1b+ TAM,E14S,transferred
0.45287833,-6.225355,Resident Macrophage,E14S,transferred
2.32293,10.658038,CD8 Terminally Exhausted,E14S,transferred
-5.0043435,2.1220517,Il1b+ TAM,E14S,transferred
19.045912,7.095849,Hypoxic Tumor,E14S,transferred
0.5700826,-5.692912,Neutrophil,E14S,transferred
-4.7409363,3.071161,Il1b+ TAM,E14S,transferred
-0.20889252,1.9224713,Monocyte,E14S,transferred
-0.49213675,2.0208883,Monocyte,E14S,transferred
2.7770638,-7.1272483,Neutrophil,E14S,transferred
-5.9463444,1.210338,Spp1+ TAM,E14S,transferred
-3.977615,4.3248067,Il1b+ TAM,E14S,transferred
0.33904174,-6.4190936,Neutrophil,E14S,transferred
2.7748363,13.670054,NK,E14S,transferred
0.8623085,-7.922537,Neutrophil,E14S,transferred
-1.6908922,2.3507202,Monocyte,E14S,transferred
-1.2241547,2.488131,Monocyte,E14S,transferred
-4.072217,3.1629016,Resident Macrophage,E14S,transferred
1.5243243,7.0556755,mDC,E14S,transferred
0.5584815,-8.259329,Neutrophil,E14S,transferred
-3.987539,0.6277793,Monocyte,E14S,transferred
2.5948822,7.451975,mDC,E14S,transferred
-2.6199508,1.4989096,Il1b+ TAM,E14S,transferred
1.7591716,-9.098924,Neutrophil,E14S,transferred
-4.677953,6.1674585,C1qc+ TAM,E14S,transferred
-1.2541378,3.2924876,Monocyte,E14S,transferred
0.29641482,1.7617598,Monocyte,E14S,transferred
-5.5526,2.071673,Resident Macrophage,E14S,transferred
-0.9285642,3.1661916,Monocyte,E14S,transferred
-3.1468246,4.440643,Monocyte,E14S,transferred
-2.896945,2.6146047,Il1b+ TAM,E14S,transferred
-2.9495077,1.7204437,Il1b+ TAM,E14S,transferred
-5.7737684,0.6340512,Spp1+ TAM,E14S,transferred
2.640444,13.016192,NK T,E14S,transferred
1.0834506,5.111522,cDC,E14S,transferred
-5.6116753,3.0121,Resident Macrophage,E14S,transferred
16.985655,7.51022,Hypoxic Tumor,E14S,transferred
-2.4842644,3.9649012,Monocyte,E14S,transferred
-3.734656,5.3430915,C1qc+ TAM,E14S,transferred
-3.238821,3.2283735,Monocyte,E14S,transferred
