sample,query,anchor,median_dist,bg_median_dist,ratio_vs_bg,p_vs_bg,n_query,n_anchor
E14S,C1qc_TAM,exit_front,1.395515691999436,1.296484893055766,1.0763840747193423,0.10574941831102529,525,81
E14S,C1qc_TAM,enter_front,1.3859947514841466,1.2924323264906887,1.072392513770919,0.0068245597879455985,525,100
E14S,Il1b_TAM,Spp1_TAM,0.8470212585863617,0.8559711588597172,0.989544156738554,0.11094804824491442,850,260
E14S,Il1b_TAM,C1qc_TAM,0.4575225849996175,0.4646143100870929,0.9847363179878251,0.09466667477944352,850,525
E14S,Il1b_TAM,Il1b_TAM,0.0,0.34184710831108733,0.0,0.0,850,850
E14S,Il1b_TAM,Neutrophil,0.46562308868604957,0.5508109791800022,0.8453409722864045,5.032549630636639e-05,850,495
E14S,Il1b_TAM,CAF,3.275189069412094,3.7661375924256246,0.8696413736978394,2.296697935935781e-07,850,10
E14S,Il1b_TAM,Stromal,1.952775984390848,2.2618538604318137,0.8633519691754271,3.4241520375391094e-11,850,30
E14S,Il1b_TAM,CD8_exh,0.9066318648182056,0.9375448737221914,0.9670277020648018,0.0900278325385587,850,198
E14S,Il1b_TAM,NK,0.8040742001196473,0.8699148259544712,0.9243137099513351,0.0003406516153116902,850,253
E14S,Il1b_TAM,Monocyte,0.24202965688309191,0.2866905783969794,0.8442190818979559,1.0835674942914526e-07,850,1163
E14S,Il1b_TAM,Hypoxic_Tumor,0.9177274904498094,0.9555929310758309,0.9603749259808865,0.0882341500409445,850,226
E14S,Il1b_TAM,Tumor,0.9932268114123595,1.0240266368834798,0.9699228278232522,0.29616778139764655,850,155
E14S,Il1b_TAM,hypoxic_core_dyn,1.6179345603551893,1.6854202551643556,0.9599591291238011,0.2585985454559965,850,64
E14S,Il1b_TAM,exit_front,1.2583764334964287,1.3130088105947255,0.9583914619174938,0.20321670816201642,850,81
E14S,Il1b_TAM,enter_front,1.277053772081627,1.3036156347192367,0.9796244675729665,0.45779758451100694,850,100
E14S,CD8_exh,Spp1_TAM,0.8614596102287124,0.8541791972521997,1.0085232852777648,0.7683401590969737,198,260
E14S,CD8_exh,C1qc_TAM,0.5306053078039459,0.46108238431438703,1.1507819987374641,0.0587468317541936,198,525
E14S,CD8_exh,Il1b_TAM,0.40346878887162685,0.3388745993218737,1.1906138426397652,0.6188839527573505,198,850
E14S,CD8_exh,Neutrophil,0.5804812968487114,0.5302443745575299,1.0947429613621122,0.1093329649673986,198,495
E14S,CD8_exh,CAF,4.485785570608016,3.639956904537386,1.232373263819762,0.007161875645107506,198,10
E14S,CD8_exh,Stromal,2.2285315341302327,2.208231535910026,1.0091928757877469,0.4400514652047055,198,30
