source,target,hit_rate,null_mean,enrichment,p_perm,radius,sample
Neutrophil,Resident_Macrophage,0.5757575757575758,0.6153265993265994,0.9356942742076694,0.08609271523178808,0.5159616291765426,E14S
Neutrophil,C1qcpos_TAM,0.5070707070707071,0.5391380471380471,0.9405210961504834,0.1986754966887417,0.5159616291765426,E14S
Neutrophil,Spp1pos_TAM,0.2909090909090909,0.34107744107744103,0.8529121421520237,0.052980132450331126,0.5159616291765426,E14S
Neutrophil,NK,0.29292929292929293,0.3367272727272727,0.8699304055675546,0.039735099337748346,0.5159616291765426,E14S
Neutrophil,CD8_exhausted,0.21616161616161617,0.27554208754208753,0.7844958209101129,0.006622516556291391,0.5159616291765426,E14S
Neutrophil,cDC,0.24646464646464647,0.2535892255892256,0.9719050400977216,0.7549668874172185,0.5159616291765426,E14S
Neutrophil,mDC,0.22626262626262628,0.24592592592592596,0.9200438116100765,0.304635761589404,0.5159616291765426,E14S
Neutrophil,entering_hypoxia,0.09898989898989899,0.12848484848484848,0.7704402515723271,0.059602649006622516,0.5159616291765426,E14S
Neutrophil,exiting_hypoxia,0.1414141414141414,0.1285117845117845,1.100398239362817,0.45695364238410596,0.5159616291765426,E14S
Spp1pos_TAM,Monocyte,0.7769230769230769,0.7653589743589743,1.0151093838989582,0.6754966887417219,0.5159616291765426,E14S
Spp1pos_TAM,Il1bpos_TAM,0.6076923076923076,0.6835128205128206,0.8890722887046553,0.026490066225165563,0.5159616291765426,E14S
Spp1pos_TAM,Resident_Macrophage,0.6,0.6166410256410256,0.9730134309118882,0.6423841059602649,0.5159616291765426,E14S
Spp1pos_TAM,C1qcpos_TAM,0.5230769230769231,0.5446153846153845,0.9604519774011302,0.4768211920529801,0.5159616291765426,E14S
Spp1pos_TAM,Neutrophil,0.4269230769230769,0.5244102564102565,0.8141013103852922,0.013245033112582781,0.5159616291765426,E14S
Spp1pos_TAM,NK,0.28076923076923077,0.33420512820512827,0.8401104802823384,0.11258278145695365,0.5159616291765426,E14S
Spp1pos_TAM,CD8_exhausted,0.25769230769230766,0.2798974358974359,0.9206669109563943,0.5033112582781457,0.5159616291765426,E14S
Spp1pos_TAM,cDC,0.23846153846153847,0.26082051282051283,0.9142744789618561,0.41721854304635764,0.5159616291765426,E14S
Spp1pos_TAM,mDC,0.2076923076923077,0.24858974358974364,0.8354822073233624,0.18543046357615894,0.5159616291765426,E14S
Spp1pos_TAM,entering_hypoxia,0.08076923076923077,0.13,0.6213017751479291,0.026490066225165563,0.5159616291765426,E14S
Spp1pos_TAM,exiting_hypoxia,0.09230769230769231,0.12776923076923077,0.7224563515954244,0.152317880794702,0.5159616291765426,E14S
NK,Monocyte,0.6877470355731226,0.7629776021080369,0.9013987221550682,0.026490066225165563,0.5159616291765426,E14S
NK,Il1bpos_TAM,0.6324110671936759,0.6869301712779975,0.9206337028654723,0.11258278145695365,0.5159616291765426,E14S
NK,Resident_Macrophage,0.5652173913043478,0.6147562582345191,0.91941705957994,0.09933774834437085,0.5159616291765426,E14S
NK,C1qcpos_TAM,0.5019762845849802,0.5387878787878789,0.9316770186335401,0.31125827814569534,0.5159616291765426,E14S
NK,Neutrophil,0.4743083003952569,0.5227140974967062,0.9073952714624187,0.18543046357615894,0.5159616291765426,E14S
NK,Spp1pos_TAM,0.308300395256917,0.33920948616600793,0.9088790491726869,0.3576158940397351,0.5159616291765426,E14S
