sample,query,anchor,median_dist,bg_median_dist,ratio_vs_bg,p_vs_bg,n_query,n_anchor
E14S,entering,CD8_exh,1.115381663740005,0.9296457578147586,1.1997921298128014,0.0012162557277321407,100,198
E15S,C1qc_TAM,enter_front,0.48661233762764067,0.4050029998139554,1.2015030452889828,9.853173214953796e-11,1141,588
E14S,exiting,Spp1_TAM,1.0271345020229605,0.8507954760157277,1.207263709056174,0.008700634183630691,81,260
E15S,C1qc_TAM,Hypoxic_Tumor,0.4624301283304137,0.38191265331960605,1.2108269372877418,1.3273149273379432e-10,1141,601
E14S,persistent,NK,1.0396548967452095,0.8566556747833158,1.2136205097902162,0.008928579790504267,45,253
E15S,entering,Il1b_TAM,0.691220809595009,0.5693474796451327,1.2140579071779478,5.290706288344765e-06,588,400
E14S,entering,Stromal,2.6874649632829275,2.207927514024998,1.2171889458380563,0.0051116640864268224,100,30
E14S,CD8_exh,CAF,4.485785570608016,3.639956904537386,1.232373263819762,0.007161875645107506,198,10
E14S,Spp1_TAM,CAF,4.480927812396208,3.6243765753828225,1.2363306403730725,0.001394233110606302,260,10
E15S,entering,Spp1_TAM,0.5528758356303705,0.4465537347959486,1.2380947522093964,6.160329230994489e-06,588,496
E15S,C1qc_TAM,exit_front,0.5657032870262377,0.4524326602041331,1.2503590849763102,3.533119327737277e-09,1141,459
E14S,exiting,Stromal,2.9055852185067037,2.2070805896851677,1.3164835176776102,0.006586427451113271,81,30
E15S,C1qc_TAM,CAF,0.7126480389421058,0.5368177515464609,1.3275418647932453,6.744359112998467e-07,1141,387
E15S,C1qc_TAM,hypoxic_core_dyn,0.6325156549384406,0.45768935966002255,1.3819758785921554,1.1276233315008355e-10,1141,463
E14S,entering,C1qc_TAM,0.6570263191895489,0.4608415284560059,1.425709877733538,0.0060362104972854535,100,525
E14S,entering_deep,Neutrophil,0.9417298757125794,0.5315824133860996,1.7715595023430186,0.007712513051020023,19,495
E14S,entering_deep,CAF,8.20157558436104,3.6487763124858295,2.247760586554973,0.00042793739979508016,19,10
