source,target,obs_frac,exp_frac,enrichment,log2_enrichment,n_source,n_target,p_perm,sample,label_space
Neutrophil,CD8_exhausted,0.005115507061032353,0.004049519842647229,1.2632379293857894,0.33712639464143,1230,35,0.0033222591362126247,E15S,hybrid_dynamics
Neutrophil,mDC,0.003455688280591004,0.003933819275714451,0.8784562885043543,-0.18695759456941471,1230,34,0.19601328903654486,E15S,hybrid_dynamics
Neutrophil,Hypoxic_Tumor,0.0032924274169410356,0.003702418141848895,0.8892640676444179,-0.16931620281664636,1230,32,0.22591362126245848,E15S,hybrid_dynamics
C1qcpos_TAM,Neutrophil,0.12589833093778416,0.1423116973273169,0.8846660766628198,-0.17679509217873313,1141,1230,0.0033222591362126247,E15S,hybrid_dynamics
C1qcpos_TAM,Stromal,0.13214631427649526,0.13108874233483744,1.008067603081861,0.01159239217173257,1141,1133,0.5382059800664452,E15S,hybrid_dynamics
C1qcpos_TAM,Resident_Macrophage,0.08934909506907981,0.08608122179798681,1.0379626729597538,0.05375456267060814,1141,744,0.04983388704318937,E15S,hybrid_dynamics
C1qcpos_TAM,Monocyte,0.08260244639347629,0.0824945042230707,1.0013084771091383,0.0018864994847567335,1141,713,0.946843853820598,E15S,hybrid_dynamics
C1qcpos_TAM,Spp1pos_TAM,0.05916517555953184,0.05738748119865787,1.030977041050471,0.044012205517433504,1141,496,0.17275747508305647,E15S,hybrid_dynamics
C1qcpos_TAM,exiting_hypoxia,0.04983720043413217,0.05310656022214509,0.9384377415080705,-0.09166705893824018,1141,459,0.013289036544850499,E15S,hybrid_dynamics
C1qcpos_TAM,Il1bpos_TAM,0.04907453580123786,0.04628022677311119,1.0603780323252472,0.08457868755497545,1141,400,0.029900332225913623,E15S,hybrid_dynamics
C1qcpos_TAM,entering_hypoxia,0.041653222258073976,0.04477611940298507,0.9302552970969855,-0.10430139446101849,1141,387,0.006644518272425249,E15S,hybrid_dynamics
C1qcpos_TAM,CAF,0.0431785515238626,0.04477611940298507,0.9643209840329315,-0.05241465279604991,1141,387,0.1362126245847176,E15S,hybrid_dynamics
C1qcpos_TAM,transitional,0.02780792584553108,0.031007751937984496,0.8968056085183773,-0.15713279426816587,1141,268,0.0033222591362126247,E15S,hybrid_dynamics
C1qcpos_TAM,normoxic_stable,0.0296265876624329,0.030429249103320608,0.9736220424578234,-0.038566264361797935,1141,263,0.39867109634551495,E15S,hybrid_dynamics
C1qcpos_TAM,persistent_hypoxia,0.027455926784195242,0.03031354853638783,0.9057312030374025,-0.14284513466269846,1141,262,0.006644518272425249,E15S,hybrid_dynamics
