gene,lfc_exit_minus_enter,padj,frac_ex,frac_en
Nme1,0.4525042772293091,9.185797537966615e-39,0.93812375249501,0.8253358925143954
Tspo,0.4181501865386963,1.315830315084095e-38,0.9500998003992016,0.8522072936660269
Ndufa8,0.43737363815307617,1.43783664310102e-38,0.9121756487025948,0.710172744721689
Sumo2,0.3650777339935303,1.7232886488209452e-38,0.9520958083832335,0.8733205374280231
Psma4,0.3850816488265991,1.9683073635682115e-38,0.936127744510978,0.8272552783109405
Rpl7a,0.3125448226928711,2.2924780666258103e-38,0.9940119760479041,0.9558541266794626
Aldoa,0.36101460456848145,2.6454279843829714e-38,0.9700598802395209,0.9155470249520153
Psmb3,0.3814297914505005,2.761201392837442e-38,0.9540918163672655,0.8714011516314779
Swi5,0.3800482749938965,4.2331017966208974e-38,0.9461077844311377,0.8234165067178503
Rpl9,0.31567275524139404,4.654386740279585e-38,0.9900199600798403,0.9712092130518234
Atp5b,0.361217737197876,5.567407686415136e-38,0.9580838323353293,0.9078694817658349
Atp5l,0.3696615695953369,5.579105694230182e-38,0.9540918163672655,0.8560460652591171
Wdr83os,0.42098695039749146,7.497906856877574e-38,0.906187624750499,0.6621880998080614
Mdh2,0.3827958106994629,9.700343530243345e-38,0.9600798403193613,0.8694817658349329
Ndufb5,0.4155229330062866,1.1918083770649635e-37,0.9141716566866267,0.6756238003838771
Calm1,0.27587294578552246,1.416840203292619e-37,0.9840319361277445,0.9520153550863724
Vkorc1,0.4074068069458008,1.738093958800811e-37,0.872255489021956,0.5431861804222649
Atp5d,0.3533285856246948,1.7741619144273836e-37,0.9620758483033932,0.8905950095969289
Prdx4,0.40188878774642944,5.419465262647832e-37,0.9261477045908184,0.8119001919385797
Psma5,0.4032282829284668,6.987090706092527e-37,0.936127744510978,0.8291746641074856
Selenof,0.3774552345275879,8.89064849300417e-37,0.9241516966067864,0.7984644913627639
Ndufc2,0.40660637617111206,9.317481321630699e-37,0.9141716566866267,0.6948176583493282
Rsbn1,-0.4067174196243286,1.0421202555448136e-36,0.8063872255489022,0.8886756238003839
Ndufb11,0.40044206380844116,1.1193514716230206e-36,0.9201596806387226,0.7562380038387716
Taf1d,-0.2820911407470703,2.339731188215927e-36,0.9201596806387226,0.9673704414587332
Jund,-0.3956339359283447,3.502131413453684e-36,0.9101796407185628,0.9481765834932822
Fkbp1a,0.32663559913635254,3.532084492935876e-36,0.9520958083832335,0.8829174664107485
Ndufa7,0.3972088098526001,4.262680453448315e-36,0.9481037924151696,0.8253358925143954
Rps25,0.31400084495544434,5.004345085766025e-36,0.9920159680638723,0.9539347408829175
Rps5,0.3192875385284424,5.3811328621744495e-36,0.9860279441117764,0.9577735124760077
Tmem14c,0.43457645177841187,6.366846513423594e-36,0.908183632734531,0.654510556621881
Fosb,-0.5622788667678833,1.0898220459364909e-35,0.5389221556886228,0.7754318618042226
Brd2,-0.310066282749176,1.1728518638274031e-35,0.8942115768463074,0.946257197696737
Gphn,-0.3752847909927368,1.417735482923108e-35,0.9321357285429142,0.9846449136276392
Psma2,0.41216182708740234,1.564505727042543e-35,0.9281437125748503,0.783109404990403
Chchd2,0.3119622468948364,1.9855365360116477e-35,0.9720558882235529,0.9155470249520153
Naca,0.2864234447479248,2.2653970041193442e-35,0.9760479041916168,0.9404990403071017
Psma6,0.36904436349868774,2.2739917802541936e-35,0.9281437125748503,0.7984644913627639
Klf6,-0.3854295611381531,2.3632465085492977e-35,0.8662674650698603,0.9097888675623801
Dst,-0.347109317779541,2.3846273729917276e-35,0.906187624750499,0.9865642994241842
Ndufb8,0.4101274013519287,2.6039515772688133e-35,0.936127744510978,0.7888675623800384
Brk1,0.38176923990249634,2.7342660295367545e-35,0.9181636726546906,0.7216890595009597
Neat1,-0.46132296323776245,7.281539102119501e-35,0.7684630738522954,0.9001919385796545
