gene,lfc_a_minus_b,mean_a,mean_b,frac_a,frac_b,pval,padj
Ell2,-0.4726454019546509,1.0418716669082642,1.514517068862915,0.6525252525252525,0.770516717325228,1.4601550803654436e-17,5.840620321461775e-14
Suco,-0.520325779914856,1.0232200622558594,1.5435458421707153,0.6606060606060606,0.78419452887538,1.753935755941611e-17,7.015743023766444e-14
Gzmc,0.2164909392595291,0.3556653559207916,0.1391744166612625,0.3515151515151515,0.13145896656534956,2.2390147595063846e-17,8.956059038025539e-14
H2-K1,0.4324042797088623,2.4720265865325928,2.0396223068237305,0.9414141414141414,0.8882978723404256,2.4460182758221694e-17,9.784073103288677e-14
Il1b,-0.5380020141601562,4.0210490226745605,4.559051036834717,0.9757575757575757,0.9802431610942249,3.674553783511022e-17,1.4698215134044088e-13
Ifrd1,-0.667195200920105,1.6237765550613403,2.2909717559814453,0.692929292929293,0.8290273556231003,4.036060540972355e-17,1.614424216388942e-13
Osm,-0.582622230052948,0.9513071179389954,1.5339293479919434,0.5797979797979798,0.7256838905775076,4.788126243333243e-17,1.915250497333297e-13
Cyrib,0.5467580556869507,1.4313384294509888,0.8845803737640381,0.7636363636363637,0.5531914893617021,5.028097515397946e-17,2.0112390061591784e-13
Ifit1bl1,0.5299803018569946,0.9013950824737549,0.37141475081443787,0.5131313131313131,0.24468085106382978,7.409104594574151e-17,2.9636418378296603e-13
Cd74,0.47942888736724854,0.8636221885681152,0.3841933012008667,0.5050505050505051,0.25227963525835867,8.363599943332594e-17,3.345439977333038e-13
Shisa5,0.4765084385871887,1.3033816814422607,0.826873242855072,0.7434343434343434,0.5585106382978723,9.447766481199662e-17,3.779106592479865e-13
Ifi205,0.4088969826698303,0.6750117540359497,0.2661147713661194,0.3898989898989899,0.18161094224924013,1.4797025568104208e-16,5.918810227241683e-13
Aif1,0.4301120638847351,0.667365312576294,0.23725324869155884,0.39191919191919194,0.15577507598784193,1.6967434573357365e-16,6.786973829342945e-13
Psme1,0.4720344543457031,1.2135851383209229,0.7415506839752197,0.6828282828282828,0.4946808510638298,1.7005790104286542e-16,6.802316041714617e-13
Sirpb1c,0.31345710158348083,0.6824041604995728,0.3689470589160919,0.5212121212121212,0.30547112462006076,2.4306098437893895e-16,9.722439375157558e-13
