gene,lfc_rev_minus_norm,padj,frac_rev,frac_norm
Oasl2,-1.1925686597824097,1.1379165019989455e-26,0.18243243243243243,0.9647887323943662
Glis3,-0.8341690301895142,1.226518976252941e-26,0.12162162162162163,0.8838028169014085
Kidins220,-0.6178728938102722,1.2312996158165877e-26,0.11486486486486487,0.8838028169014085
Tank,-0.4985215365886688,1.2755053953373265e-26,0.07432432432432433,0.8063380281690141
Bcl2l1,-0.392111212015152,1.2756175868496529e-26,0.08108108108108109,0.7852112676056338
Selenom,-0.7721554040908813,1.2856356691590356e-26,0.0945945945945946,0.7852112676056338
Ist1,-0.5131890177726746,1.3075920360236245e-26,0.07432432432432433,0.8345070422535211
Samhd1,-0.662273108959198,1.3323579782597948e-26,0.12162162162162163,0.9154929577464789
Tpd52l2,-0.5618486404418945,1.360636206086304e-26,0.08783783783783784,0.8485915492957746
Rfc3,-0.45604386925697327,1.525103334762658e-26,0.07432432432432433,0.7676056338028169
Camk2d,-1.2247604131698608,1.610743952157579e-26,0.21621621621621623,0.9788732394366197
Sec23b,-0.42339786887168884,1.61153357652269e-26,0.04054054054054054,0.7605633802816901
Snhg14,-0.4214745759963989,1.6303526608615714e-26,0.006756756756756757,0.6267605633802817
Vps13d,-0.41610443592071533,1.6583756720227354e-26,0.08108108108108109,0.7887323943661971
Ube2h,-0.5782139897346497,1.6632169357795864e-26,0.10810810810810811,0.8732394366197183
Ckap4,-0.5990899801254272,1.823912874038291e-26,0.0945945945945946,0.8626760563380281
Lnpk,-0.44894710183143616,1.8488248597152605e-26,0.05405405405405406,0.7746478873239436
Zfand5,-0.9943054914474487,1.865022448374389e-26,0.14864864864864866,0.9366197183098591
Sri,-0.44731849431991577,1.9251373955955464e-26,0.05405405405405406,0.7570422535211268
Ogdh,-0.7637964487075806,1.9788226369231226e-26,0.14189189189189189,0.9577464788732394
Eefsec,-0.5003514289855957,2.0735824644667502e-26,0.08108108108108109,0.8028169014084507
Ogfod1,-0.4547024667263031,2.162929669037552e-26,0.05405405405405406,0.75
Eif2ak2,-0.895559549331665,2.4172651778163735e-26,0.16891891891891891,0.954225352112676
Kansl1,-0.9773911237716675,2.4477589976816186e-26,0.1891891891891892,0.9683098591549296
Ctdspl2,-0.7054197192192078,2.507544654276541e-26,0.10810810810810811,0.9295774647887324
Ncoa7,-0.44874921441078186,2.5825500204175342e-26,0.060810810810810814,0.7640845070422535
Epc1,-0.5379389524459839,2.72901508438487e-26,0.06756756756756757,0.8380281690140845
Nlk,-0.7460282444953918,2.812759313444038e-26,0.12837837837837837,0.9225352112676056
Acsl4,-0.5974597334861755,3.057967917259501e-26,0.0945945945945946,0.8556338028169014
Sys1,-0.4358936548233032,3.0933366515358457e-26,0.07432432432432433,0.75
Tbc1d5,-0.863349974155426,3.167941306691221e-26,0.14189189189189189,0.9295774647887324
