gene,corr_v_hypoxia_residual
Chd1,0.12827562077696042
Pibf1,0.12814883697470295
Gpc6,0.12809561586912022
Itpr2,0.1280632116979945
Psma4,-0.1280441458916094
Fto,0.12804234206406262
Aff1,0.12788534237526902
Slf2,0.12785697183530242
Aak1,0.1278510102404293
Rps26,-0.12776777286397184
Calm1,-0.12776333806750742
Pdia3,-0.12765924213253602
Psmb8,-0.12763143294120288
Gli3,0.12762979733998417
Ndufc1,-0.12757970525541068
Cdc73,0.12755219276781832
Rab22a,0.12753906901466303
Rpl8,-0.12745646058206941
Zfp407,0.12739945676734155
Cbfb,0.12731241811289273
Abi1,0.12727836726406638
Yy1,0.127264583524919
Pum2,0.1272622139199377
Rps14,-0.12726011542589255
Ogdh,0.12700757436219076
Mthfd1l,0.1269914636870849
Trim33,0.12693712875886426
Spata5,0.12682862383780816
Magi2,0.12674504875537526
Ubc,0.12670904701042662
Wasl,0.12668390185717657
Rps5,-0.12667086984984652
Rps21,-0.12665976802725817
Pcm1,0.12650940591199486
Nudt21,-0.12623619415630868
Arhgef12,0.12622242129601305
Rpl21,-0.1261106749959536
Arid1a,0.12607379830807436
Arglu1,0.1259654866677631
Gpatch8,0.12591794692383126
Oga,0.12590985128737184
Psma2,-0.12589469604526685
Morrbid,0.12577671634328896
Sfswap,0.12575933786763227
Mcl1,0.1257498741963094
Kirrel,0.12562618690264438
Tomm22,-0.12561462917716926
Akap9,0.12556235120205267
Ifitm3,-0.1254593662552164
Ssr2,-0.12541348302647903
Col6a1,-0.12540306452127664
Eif4e,0.12512304882818925
Pard3,0.12507082172423994
Klf7,0.12505514313208685
Arpc3,-0.12499464463517927
Rps25,-0.12493007231722358
Map4k4,0.12492826292403289
Cox7c,-0.12488390530968699
Rps16,-0.12485472178010484
Cyc1,-0.12484237197219576
Dnah12,0.12456287330882801
U2surp,0.12445400771353386
Rtn4,0.12443266081983226
Tmed10,-0.1242997561358683
Psma7,-0.12420517284905222
Phf20l1,0.12389237424597023
Stat2,0.12376066761606173
Raly,-0.12375564740780577
Prelid1,-0.12373643784746703
Serpinh1,-0.12371223463063993
Acaca,0.12359550296135496
Rpl24,-0.12359356901688157
Mdh2,-0.12349863112850164
Thoc2l,0.12345134913459677
Abcf1,0.12342102772227208
Rbpj,0.12317350851576345
Ddx46,0.12315265481423131
Cnih4,-0.12314913606264977
Erbin,0.1231418026957875
Dad1,-0.12312053643357762
Cers6,0.12299178850920388
Rsf1,0.12280377875363013
Myo9b,0.12276699604207936
Slc25a4,-0.12269783488287177
Wwc1,0.12267264410928887
Cep104,0.12244156914162657
Col3a1,-0.1224045388178276
Rpl32,-0.12223022340870124
Fmr1nb,-0.12216633845442976
Setd5,0.12213433659679794
Mtmr3,0.12206589271619801
Vps13b,0.12202508654539297
Aldoa,-0.1219165062823861
Itpr1,0.12186342922579627
Gapvd1,0.12181241053795895
Ndufb6,-0.12180684609751292
ENSMUSG00000121399,0.12180020590052784
Sumo2,-0.12177496027034697
Arf1,-0.1216963075153654
Rpl19,-0.12164077381366614
Acvr1,0.1215604578622289
Kat6a,0.12150235229108232
Nfib,0.12141444124441668
Ecpas,0.12126140698956278
Rrs1,0.121191796106453
Cst3,-0.12112465193179005
Bptf,0.12110986235352475
Naa38,-0.12110092176080146
Rrbp1,0.12093265668882879
Tmem256,-0.12091823830243109
Pnrc1,0.12090525600058628
Ppp1r12a,0.12085907849810928
Mrpl34,-0.12085903556063737
Btbd7,0.12085488344956509
Lncppara,0.12084031033499391
Chd9,0.1207910610432359
Baz2b,0.12078220556705802
Anp32a,-0.12076540653842169
Phf21a,0.12076540186042345
Smyd3,0.12072248489391176
Cnpy2,-0.12070663352552262
Fcho2,0.1206742685501039
Dennd4c,0.12067367322149773
Csf1,0.12065659536024301
Anapc11,-0.12062269259316279
Cenpf,0.1206141612273548
Arid2,0.12053561738736404
Herc1,0.12049315778574184
Ubl5,-0.12046782544866814
Fam193a,0.12042239659443948
Baiap2,0.12035428440567375
Zfhx3,0.1203183956388236
Zzz3,0.12024564188497414
Dync1h1,0.1201895216262309
Uimc1,0.12017603129864654
Adh5,-0.11978124892508973
Gnl3,0.11966908388454245
Srp14,-0.11964424376339426
Cox8a,-0.11954532326804718
Nckap1,0.11945283111586792
Hspa4,0.1194140458053373
Spats2,0.11929068935929825
Otud4,0.119238943229396
Tenm3,0.11918055129776413
Arf5,-0.11907534581291832
Cdk6,0.11898300464329636
Snx5,0.11895290358835306
